"pop2024","city","state","usps","densityMi","growth","areaMi"
"8097282","New York City","New York","NY","26950","-0.01947","300.457"
"3795936","Los Angeles","California","CA","8068","-0.00654","470.517"
"2638159","Chicago","Illinois","IL","11584","-0.00987","227.748"
"2319119","Houston","Texas","TX","3620","0.00214","640.606"
"1662607","Phoenix","Arizona","AZ","3208","0.0076","518.331"
"1533828","Philadelphia","Pennsylvania","PA","11416","-0.01078","134.356"
"1513974","San Antonio","Texas","TX","3034","0.01249","498.922"
"1388996","San Diego","California","CA","4260","0.00049","326.087"
"1302753","Dallas","Texas","TX","3835","-0.00009","339.676"
"997164","Jacksonville","Florida","FL","1334","0.01148","747.261"
"996756","Fort Worth","Texas","TX","2846","0.01869","350.27"
"984567","Austin","Texas","TX","3017","0.00478","326.365"
"956433","San Jose","California","CA","5375","-0.01364","177.939"
"923164","Charlotte","North Carolina","NC","2971","0.01301","310.759"
"915427","Columbus","Ohio","OH","4147","0.00247","220.725"
"876665","Indianapolis","Indiana","IN","2428","-0.00299","361.017"
"788478","San Francisco","California","CA","16884","-0.02535","46.7"
"759915","Seattle","Washington","WA","9047","0.00641","84"
"716234","Denver","Colorado","CO","4679","-0.00048","153.074"
"709330","Oklahoma City","Oklahoma","OK","1170","0.00934","606.479"
"687150","Nashville","Tennessee","TN","1445","-0.00093","475.566"
"681683","Washington","District of Columbia","DC","11152","0.00399","61.126"
"678859","El Paso","Texas","TX","2623","-0.00015","258.788"
"665640","Las Vegas","Nevada","NV","4692","0.00713","141.862"
"646622","Boston","Massachusetts","MA","13377","-0.01103","48.34"
"631524","Detroit","Michigan","MI","4552","-0.00268","138.735"
"622882","Portland","Oregon","OR","4666","-0.01208","133.488"
"620004","Louisville","Kentucky","KY","2357","-0.00478","263.065"
"613110","Memphis","Tennessee","TN","2070","-0.00894","296.202"
"559266","Baltimore","Maryland","MD","6909","-0.01057","80.946"
"558736","Albuquerque","New Mexico","NM","2984","-0.00275","187.266"
"556111","Milwaukee","Wisconsin","WI","5782","-0.00939","96.173"
"548772","Tucson","Arizona","AZ","2266","0.0028","242.187"
"546718","Fresno","California","CA","4720","0.00184","115.818"
"526669","Sacramento","California","CA","5339","0.00054","98.646"
"514465","Atlanta","Georgia","GA","3804","0.00713","135.253"
"513567","Mesa","Arizona","AZ","3632","0.00375","141.384"
"511532","Kansas City","Missouri","MO","1626","0.00162","314.68"
"491441","Colorado Springs","Colorado","CO","2434","0.00568","201.868"
"487942","Raleigh","North Carolina","NC","3265","0.01171","149.447"
"480194","Omaha","Nebraska","NE","3358","-0.0065","142.98"
